VMID,Duration,Timestamp,Price
535,9907,1393677140,0.1286
536,9725,1393677322,0.1285
537,739,1393677505,0.1284
538,8803,1393678244,0.1285
539,381,1393678804,0.1284
540,7862,1393679185,0.1285
541,1117,1393680880,0.1283
542,1320,1393681997,0.1284
543,376,1393682191,0.1283
544,750,1393682567,0.1284
545,3730,1393683317,0.1285
546,1866,1393684622,0.1284
547,559,1393686488,0.1285
548,189,1393687047,0.1287
549,4173,1393687236,0.1288
550,1897,1393687423,0.1287
551,954,1393687610,0.1286
552,756,1393688564,0.1287
553,2089,1393689320,0.1288
554,187,1393689513,0.1287
555,1709,1393689700,0.1288
556,1137,1393690272,0.1287
557,380,1393690834,0.1286
558,195,1393691214,0.1287
559,3611,1393691409,0.1289
560,1515,1393691602,0.1288
561,189,1393691980,0.1287
562,948,1393692169,0.1288
563,1903,1393693117,0.1289
564,571,1393693303,0.1288
565,1146,1393693874,0.1289
566,380,1393694065,0.1288
567,575,1393694445,0.1289
568,190,1393694635,0.1288
569,195,1393694825,0.1289
570,1322,1393695020,0.129
571,376,1393695397,0.1289
572,569,1393695773,0.129
573,951,1393696342,0.1291
574,383,1393697293,0.1292
575,194,1393697482,0.129
576,5370,1393697676,0.1294
577,4028,1393697867,0.1292
578,190,1393698059,0.1288
579,1141,1393698249,0.129
580,572,1393699390,0.1291
581,1933,1393699962,0.1292
582,194,1393700154,0.1291
583,1547,1393700348,0.1292
584,194,1393700928,0.1291
585,773,1393701122,0.1292
586,581,1393701314,0.1291
587,1151,1393701895,0.1294
588,769,1393702085,0.1293
589,387,1393702275,0.1291
590,192,1393702662,0.1293
591,192,1393702854,0.1294
592,195,1393703046,0.1295
593,571,1393703241,0.1297
594,11500,1393703812,0.1298
595,10003,1393704003,0.1297
596,5593,1393704194,0.1293
597,385,1393704389,0.1292
598,193,1393704581,0.1291
599,5013,1393704774,0.1293
600,4055,1393704966,0.1292
601,971,1393705161,0.1291
602,385,1393705354,0.129
603,393,1393705739,0.1291
604,195,1393705937,0.129
605,2889,1393706132,0.1292
606,1924,1393706322,0.129
607,1156,1393706514,0.1289
608,570,1393706909,0.1288
609,191,1393707479,0.1289
610,576,1393707670,0.129
611,195,1393708246,0.1291
612,580,1393708441,0.1292
613,192,1393708829,0.1291
614,766,1393709021,0.1293
615,192,1393709210,0.1292
616,385,1393709402,0.1293
617,192,1393709595,0.1292
618,198,1393709787,0.1294
619,2112,1393709985,0.1295
620,193,1393710369,0.1294
621,1535,1393710562,0.1295
622,385,1393710756,0.1292
623,192,1393710949,0.1291
624,576,1393711141,0.1293
625,195,1393711332,0.1292
626,190,1393711527,0.1293
627,380,1393711717,0.1295
628,1909,1393712097,0.1297
629,959,1393712287,0.1294
630,768,1393712478,0.1293
631,189,1393712867,0.1288
632,190,1393713056,0.1291
633,571,1393713246,0.1295
634,189,1393713817,0.1297
635,1306,1393714006,0.1298
636,1122,1393714190,0.1296
637,937,1393714375,0.1295
638,374,1393714560,0.1294
639,378,1393714934,0.1295
640,1488,1393715312,0.1302
641,185,1393715501,0.13
642,557,1393715686,0.1301
643,186,1393716057,0.13
644,557,1393716243,0.1302
645,372,1393716428,0.1301
646,187,1393716613,0.13
647,7635,1393716800,0.133
648,372,1393716989,0.1307
649,185,1393717176,0.1306
650,6542,1393717361,0.1318
651,5991,1393717738,0.1315
652,561,1393717924,0.1307
653,187,1393718112,0.1304
654,186,1393718299,0.1307
655,5244,1393718485,0.1312
656,5052,1393718677,0.1307
657,189,1393718867,0.1306
658,4673,1393719056,0.1307
659,2254,1393719244,0.1306
660,1561,1393719420,0.1304
661,172,1393719595,0.1301
662,177,1393719767,0.1302
663,1037,1393719944,0.1304
664,512,1393720290,0.1302
665,171,1393720631,0.1298
666,179,1393720802,0.1304
667,517,1393720981,0.1306
668,171,1393721327,0.1304
669,2231,1393721498,0.1307
670,170,1393721667,0.1304
671,1892,1393721837,0.1307
672,1033,1393722009,0.1306
673,514,1393722181,0.1302
674,173,1393722352,0.1301
675,170,1393722525,0.1302
676,347,1393722695,0.1304
677,687,1393723042,0.1307
678,345,1393723211,0.1304
679,175,1393723381,0.13
680,173,1393723556,0.1307
681,174,1393723729,0.1318
682,532,1393723903,0.133
683,176,1393724078,0.1316
684,181,1393724254,0.1319
685,171,1393724435,0.1337
686,174,1393724606,0.1343
687,175,1393724780,0.1349
688,171,1393724955,0.1387
689,349,1393725126,0.1419
690,175,1393725300,0.1402
691,170,1393725475,0.1553
692,154416,1393725645,0.601
693,340,1393736153,0.6
694,143568,1393736493,0.601
695,168,1393737000,0.305
696,142893,1393737168,0.601
697,675,1393737337,0.6
698,507,1393737505,0.2018
699,142049,1393738012,0.601
700,3910,1393738355,0.6
701,2551,1393738521,0.1753
702,167,1393738861,0.163
703,2044,1393739028,0.1753
704,513,1393739197,0.1495
705,171,1393739370,0.1455
706,169,1393739541,0.1495
707,1362,1393739710,0.1753
708,1027,1393739877,0.163
709,854,1393740050,0.155
710,687,1393740217,0.1495
711,517,1393740387,0.1482
712,347,1393740557,0.1449
713,168,1393740904,0.1674
714,504,1393741072,0.1805
715,168,1393741241,0.1526
716,167,1393741409,0.1587
717,339,1393741576,0.2067
718,168,1393741747,0.1847
719,178,1393741915,0.3303
720,172,1393742093,0.6
721,137796,1393742265,0.601
722,168,1393746021,0.6
723,133872,1393746189,0.601
724,8745,1393746544,0.6
725,8573,1393746716,0.2067
726,5482,1393746892,0.1505
727,341,1393747060,0.1449
728,4973,1393747401,0.1505
729,690,1393747571,0.1385
730,517,1393747744,0.1366
731,3943,1393748261,0.1412
732,347,1393748433,0.1366
733,174,1393748606,0.1325
734,3424,1393748780,0.1385
735,2571,1393748950,0.1313
736,2055,1393749296,0.1308
737,171,1393749470,0.1301
738,1536,1393749641,0.1305
739,168,1393749816,0.1294
740,680,1393749984,0.1295
741,512,1393750152,0.1292
742,342,1393750322,0.129
743,513,1393750664,0.1299
744,345,1393750832,0.1298
745,174,1393751177,0.1308
746,170,1393751351,0.1311
747,172,1393751521,0.1315
748,172,1393751693,0.132
749,169,1393751865,0.1341
750,170,1393752034,0.1366
751,170,1393752204,0.1505
752,2742,1393752374,0.1595
753,350,1393752544,0.1449
754,171,1393752723,0.1385
755,2222,1393752894,0.1457
756,339,1393753064,0.1424
757,170,1393753233,0.1365
758,1713,1393753403,0.1426
759,514,1393753571,0.1403
760,171,1393753914,0.136
761,1031,1393754085,0.1426
762,861,1393754255,0.1403
763,173,1393754425,0.135
764,172,1393754598,0.1385
765,346,1393754770,0.1403
766,172,1393754944,0.1385
767,173,1393755116,0.1753
768,124772,1393755289,0.601
769,347,1393756509,0.155
770,2090,1393756856,0.1955
771,173,1393757030,0.163
772,353,1393757203,0.1753
773,1390,1393757556,0.1955
774,524,1393757729,0.1455
775,174,1393757903,0.1426
776,176,1393758077,0.1455
777,521,1393758253,0.1753
778,346,1393758428,0.163
779,172,1393758774,0.1955
780,350,1393758946,0.3168
781,120765,1393759296,0.601
782,521,1393759641,0.2067
783,348,1393759814,0.1752
784,172,1393759990,0.1505
785,174,1393760162,0.2224
786,352,1393760336,0.3168
787,178,1393760510,0.1753
788,8329,1393760688,0.6
789,7980,1393761037,0.3247
790,7630,1393761387,0.246
791,7455,1393761562,0.2067
792,879,1393761913,0.171
793,528,1393762264,0.1618
794,177,1393762438,0.1553
795,177,1393762615,0.1618
796,3195,1393762792,0.1847
797,175,1393763150,0.1618
798,2662,1393763325,0.1847
799,1052,1393763678,0.1553
800,702,1393763854,0.1469
801,529,1393764027,0.1419
802,174,1393764556,0.1553
803,898,1393764730,0.1618
804,718,1393764910,0.1553
805,175,1393765091,0.1441
806,176,1393765266,0.1469
807,186,1393765442,0.1553
808,359,1393765628,0.1847
809,3030,1393765987,0.2067
810,2854,1393766163,0.1847
811,177,1393766342,0.1387
812,178,1393766519,0.1424
813,177,1393766697,0.1449
814,365,1393766874,0.1526
815,178,1393767239,0.1674
816,1600,1393767417,0.1805
817,1424,1393767593,0.1674
818,888,1393767773,0.1482
819,176,1393768305,0.1449
820,180,1393768481,0.1482
821,180,1393768661,0.1526
822,176,1393768841,0.1674
823,111044,1393769017,0.601
824,178,1393769195,0.3247
825,110688,1393769373,0.601
826,899,1393770093,0.2854
827,179,1393770271,0.1412
828,542,1393770450,0.2404
829,182,1393770992,0.3247
830,108887,1393771174,0.601
831,1804,1393780363,0.6
832,97894,1393782167,0.601
833,1490,1393793231,0.6
834,85340,1393794721,0.601
835,49074,1393818275,0.1412
836,2639,1393818441,0.1332
837,2309,1393818603,0.1308
838,1972,1393818771,0.1303
839,167,1393818938,0.1301
840,1638,1393819105,0.1303
841,332,1393819592,0.1296
842,162,1393819762,0.1293
843,819,1393819924,0.1298
844,493,1393820250,0.1293
845,164,1393820579,0.1292
846,169,1393820743,0.1308
847,168,1393820912,0.1324
848,39419,1393821080,0.1336
849,490,1393821242,0.1324
850,488,1393821732,0.133
851,326,1393821894,0.131
852,164,1393822056,0.1307
853,38279,1393822220,0.1336
854,37382,1393822385,0.1326
855,36131,1393822545,0.1307
856,35788,1393822707,0.1306
857,34517,1393822871,0.1302
858,34177,1393823035,0.1301
859,1325,1393823199,0.1297
860,833,1393823526,0.1295
861,335,1393823693,0.1293
862,167,1393823861,0.1291
863,331,1393824028,0.1295
864,165,1393824359,0.1296
865,331,1393824524,0.1299
866,163,1393824692,0.1298
867,32172,1393824855,0.13
868,982,1393825016,0.1299
869,821,1393825177,0.1298
870,31029,1393825998,0.13
871,175,1393826161,0.1297
872,30691,1393826336,0.1298
873,30526,1393826501,0.1297
874,668,1393827000,0.1294
875,330,1393827338,0.1293
876,165,1393827668,0.1295
877,29194,1393827833,0.1297
878,493,1393827999,0.1294
879,328,1393828164,0.1292
880,163,1393828329,0.1291
881,655,1393828492,0.1295
882,1489,1393829147,0.1296
883,331,1393829310,0.1294
884,995,1393829641,0.1295
885,164,1393830472,0.1294
886,26391,1393830636,0.1297
887,26060,1393830967,0.1295
888,25718,1393831131,0.1294
889,20187,1393831470,0.129
890,19844,1393831633,0.1289
891,10557,1393831797,0.1288
892,6535,1393832125,0.1287
893,1504,1393833632,0.1285
894,172,1393834304,0.1284
895,660,1393834476,0.1285
896,335,1393835136,0.1286
897,3189,1393835471,0.1287
